vraag,antwoord
Waar werden skeletten van Iguanodons gevonden die in het museum voor natuurwetenschappen staan,Bernissart
Hoe noemen we een beschreven Griekse scherf,ostrakon
Hoe heetten de drie locomotieven die als eerste de Belgische spoorwegen bereden,Olifant Stephenson en Pijl
Welke stof met formule C vier H tien zit in vanishing spray,butaan
Wat is een ander woord voor erffactor,allel
Waar werd het skelet van een hond gevonden die tentoongesteld staat in het museum voor natuurwetenschappen,Goyet
Waar werd het skelet van een mammoet gevonden die tentoongesteld staat in het museum voor natuurwetenschappen,Lier
Hoe heet het onderzoek naar datering via ringen in bomen,dendrochronologie
Hoe heet chinees schrift,hanzi
Hoe heet de mensensoort die naast de homo heidelbergensis leefde in Afrika,Homo Rhodesiensis
Welke wetenschap werd uitgevonden door de Fransman Martel, speleologie
Welke schelpen hadden een monetaire functie, kauri
Hoe heet het hoedachtige deel van een paddenstoel? Het is ook een muts uit griekenland,pileus
Welke Fransman was de geestelijke pionier van flora op de Antillen,Charles Plumier
wat is bijenleer, apidologie
wat is de wetenschappelijke naam voor de familie van apen,simiiformes
wat is de functie van jodelen,vee roepen
welke wetenschapper toonde dat voortplanting zoekt naar een 1 op 1 verhouding,Fisher
hoe noemen we eenverticale of staande voeg,stootvoeg
wat is een ander woord voor slangenboor,avegaar
wat is een ander woord voor maalbak,Hollander
hoe vertalen wij guy wire,tuidraad
welke duitsers vonden het proces uit om ammoniak te maken op grote schaal,Haber en Bosch
Hoe noemen we structurele isomeren in chemische verbindingen, tautomeren
Welk sporenelement bevindt zich onder zwavel in de tabel van Mendeljev? Het is synoniem met een software voor user interface testing,Selenium
Welke C 6 H 6 verbinding vinden we terug in plastiek en rubber,benzeen
Naar welke duitse elektrochemicus is het verband vernoemd tussen het potentiaalverschil en concentraties van stoffen,Nernst
Welke verbdinging bestaat uit C 2 H 5 OH,ethanol
Hoe noemen we een colloidaal mengsel van a priori niet mengbare stoffen,emulsie
Wat is een andere naam voor kikkererwtenvocht, aquafaba
Welke Brit ontdekte rodium en palladium, Wollaston
Welke elementaire stof op een lucifer zorgt voor de ontbranding,fosfor
Hoe noemen we een zesring van koolstof, grafiet
wat is de formule voor Soda,Na 2 CO 3
wat is de formule voor chloroform, Cl 3 C OH
In welke politieke constellatie ligt de macht  bij technocraten en een machtig staatsapparaat,corporatisme
Wat karakteriseert een oligopolie,weinig aanbieders
Welke vlaamse wetenschapper specialiseert in onderhandelingstechnieken, dirk van poucke
Wat is een synoniem voor sedimentair gesteente,conglomeraat
Welke theorie bepleit de gedragseconomie boven de zogenaamde onzichtbare hand, prospect theory
Hoe heet het belangrijkste werk van Aristoteles,Organon
Welke filosoof kennen we vooral van het begrip falsifieerbaarheid,Popper
Welke Jan was een belangrijke Middeleeuwse mysticus,van Ruusbroec
Welke priester staat bekend als de peetvader van de scholastiek,Petrus Abelardus
Wat is een synoniem voor sluitrede, syllogisme
Welke Griekse wetenschapper berekende als eerste de fasen van de maan,Meton van Athene
Welke Latijnse term betekent vloeistofoppervlak? We kennen het ook als een lichaamsdeel,meniscus
Welke Italiaanse filosoof bedacht geheugentechnieken? Wij kennen hem vooral omdat hij op de brandstapel stierf,Giordano Bruno
Welk subatomair deeltje komt van het Griekse woord voor sterk,hadron
Welke atmosferische wetenschapper had een beroemde schrijvende broer,bernard vonnegut
Welk woord betekent zowel geïoniseerd gas als het vloeibaar deel van bloed, plasma
Welke Nederlandse wetenschapper beschreef de elektromagnetische kracht op een lading,Lorentz
Wie was de voorzitter van de beroemde solvay-bijeenkomst in 1911,Lorentz
Hoeveel furlongs gaan er in 1 mijl,acht
Hoe noemen we eencontactgestuurde elektrische schakel die gebruikt wordt in een alarm,Reed
Welke Nederlandse fysicus doet onderzoek naar de zwaartekracht en heeft het niet zo voor de snaartheorie, Erik Verlinde
Welke Hongaarse Amerikaan geldt als de ontdekker van de nucleaire kettingreactie,Leo Szilard
Naar wie is de wet vernoemd die de spankracht in een veer verhoudt tot de uitwijking,Hooke
Hoe heet de techniek waarbij deuterium en tritium samen helium vormen,kernfusie
Welke bekende uitvinder is minder bekend als bedenker van de fotocopieermachine,Watt
Welke bekende fysicus is minder bekend als uitvinder van een soort koelkast,Einstein
Welke bekende fysicus werkte mee aan waterkrachtcentrales,Tesla
Welke plant was bestanddeel van een bioplastiek die Henry Ford zou bedacht hebben,soja
Welk muziekinstrument is ontwikkeld door Benjamin Franklin? Het raakte in onbruik doordat het publiek massaal last kreeg van nausea,glasharmonica
in welke twee plaatsen werd het Manhattan Project uitgevoerd?,Los Alamos en Oak Ridge
Uit welke mijn kwam het uranium voor het Manhattan project,Shinkolobwemijn
Hoe heette de Belgische voorzitter van Union Minière die het Manhattan Project van uranium voorzag,Edgar Sengier
Welke generaal stond aan het hoofd van het Manhattan Project,Leslie Groves
Welke Hongaarse Amerikaan vond de waterstofbom uit, Edward Teller
Welk principe zorgt er voor dat hitte wordt omgezet in infraroodstraling,stralingskoeling
Welk principe zorgt er voor dat een ster niet implodeert,stralingsdruk
Wat is het tegenovergestelde van een ductiel materiaal,bros
Wie won de eerste nobelprijs geneeskunde? Hij was een assistent van Koch. Hij vond met Paul Ehrlich een vaccin tegen dyfterie,Emil von Behring
Andere naam voor vingerkootje. Het is ook een oorlogsterm uit de oudheid, phalanx
Andere naam voor een afwijking aan de bloedvaten die een rode huid geeft,Couperose
Welke holistische japanse praktijk maakt onder andere gebruik van handoplegging,reiki
Welke oogarts die een telg is uit een bankiersfamilie gaf zijn naam aan een ziekte, Tay Sachs
Welke term geven we aan meisjes die geboren zijn uit een kuur die miskrmen moest voorkomen maar daardoor onvruchtbaar werden,DESdochters
Welk bedrijf en familie zat achter het oxycontin schandaal,purdue en sackler
Welke Nederlander promoot het medisch nihilisme, Jacob Stegenga
Waar wordt insuline aangemaakt,in de eilandjes van Langerhals
Wat is een andere naam voor bindweefsel,fascie
Waar in de hersenen wordt informatie van het korte naar langetermijngeheugen gebracht,hippocampus
Welke voorloper van Novartis bracht LSD op de markt,Sandoz
Wat is een algemene naam voor seksuele afwijking, parafilie
Welke atomaire stof vervolledigt de formule voor Isobetadine? povydon,iodium
Onder welke naam kennen we N 2 O,lachgas
Wat is de wetenschappelijke naam voor bijziendheid, myopie
Waarvoor staat de m in m R N A,messenger
Welke ziekte krijg je niet bij een bepaalde mutatie van het gen CCR5-delta32,HIV
Welk lichaamsdeel kennen wij onder een andere naam dan thymus,zwezerik
Welke Duitser is de vader van het klonen,Speman
Wat is de naam voor de laterale fissuur in hersenen,groeve van Sylvius
Hoe heet de gegeerde vrouwelijke cannabis zonder zaden,sinsemilla
Hoe heette een aandoening in de Middeleeuwen die aanleiding geeft tot motorische onrust,frenesis
Waar wordt het vrouwelijk DNA geregenereerd,mitochondriën
Hoe heet de Nederlandse prijs die toegekend wordt aan kwakzalvers of andere pseudo-geneeskunde,meester Kackadorisprijs
Waarvoor diende fentanyl voor het een vreselijke drug werd,anesthesie bij paarden
Hoe heet leven na dood waarbij iemand ingevroren wordt om later weer te ontdooien,cryonisme
Hoe heet de witte bloedcel die slechte cellen eet,fagocyt
